studentId,timestamp,testId,mcq_correct,mcq_total,tf_correct,tf_total,mcq_question_1,mcq_answer_1,mcq_question_2,mcq_answer_2,mcq_question_3,mcq_answer_3,sa_question_1,sa_answer_1,sa_question_2,sa_answer_2,sa_question_3,sa_answer_3,sa_question_4,sa_answer_4,sa_question_5,sa_answer_5,sa_question_6,sa_answer_6,sa_question_7,sa_answer_7,sa_question_8,sa_answer_8,sa_question_9,sa_answer_9,sa_question_10,sa_answer_10,sa_question_11,sa_answer_11
S1ID1,2025-06-010T02:40:42.355Z,bb_study1,0,0,0,0,"Please proceed with the auditory session in a separate window if you haven't already. Once you finish, return to this screen after completing the session. Type in 'OK', and press Submit to continue. ",SIX HERTZ,Please indicate your sex:,Female,"When you hold a phone to your head for a call, which ear do you usually listen with?",Either,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,8,How CALM or STRESSED do YOU feel RIGHT NOW?,7,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,5,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,6,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,6,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,5,How CALM or STRESSED do YOU feel RIGHT NOW?,2,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,9,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,9,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,6,Please type in how old you are (enter numeric values only):,19
S1ID8,2025-06-10T00:51:26.540Z,bb_study1,0,0,0,0,"Please proceed with the auditory session in a separate window if you haven't already. Once you finish, return to this screen after completing the session. Type in 'OK', and press Submit to continue. ",TWELVE HERTZ,Please indicate your sex:,Female,"When you hold a phone to your head for a call, which ear do you usually listen with?",Right,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,4,How CALM or STRESSED do YOU feel RIGHT NOW?,4,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,4,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,3,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,4,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,4,How CALM or STRESSED do YOU feel RIGHT NOW?,4,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,6,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,3,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,6,Please type in how old you are (enter numeric values only):,20
S1ID9,2025-06-10T06:18:43.637Z,bb_study1,0,0,0,0,"Please proceed with the auditory session in a separate window if you haven't already. Once you finish, return to this screen after completing the session. Type in 'OK', and press Submit to continue. ",SIX HERTZ,Please indicate your sex:,Female,"When you hold a phone to your head for a call, which ear do you usually listen with?",Left,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,2,How CALM or STRESSED do YOU feel RIGHT NOW?,7,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,2,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,2,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,3,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,2,How CALM or STRESSED do YOU feel RIGHT NOW?,7,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,7,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,7,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,3,Please type in how old you are (enter numeric values only):,22
S1ID6,2025-06-10T10:11:25.498Z,bb_study1,0,0,0,0,"Please proceed with the auditory session in a separate window if you haven't already. Once you finish, return to this screen after completing the session. Type in 'OK', and press Submit to continue. ",SIX HERTZ,Please indicate your sex:,Female,"When you hold a phone to your head for a call, which ear do you usually listen with?",Left,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,4,How CALM or STRESSED do YOU feel RIGHT NOW?,6,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,5,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,4,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,5,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,4,How CALM or STRESSED do YOU feel RIGHT NOW?,6,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,5,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,6,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,4,Please type in how old you are (enter numeric values only):,25
S1ID4,2025-06-10T10:55:29.918Z,bb_study1,0,0,0,0,"Please proceed with the auditory session in a separate window if you haven't already. Once you finish, return to this screen after completing the session. Type in 'OK', and press Submit to continue. ",THREE HERTZ,Please indicate your sex:,Male,"When you hold a phone to your head for a call, which ear do you usually listen with?",Left,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,7,How CALM or STRESSED do YOU feel RIGHT NOW?,9,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,6,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,7,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,4,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,8,How CALM or STRESSED do YOU feel RIGHT NOW?,9,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,7,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,7,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,2,Please type in how old you are (enter numeric values only):,20
S1ID7,2025-06-10T10:55:29.918Z,bb_study1,0,0,0,0,"Please proceed with the auditory session in a separate window if you haven't already. Once you finish, return to this screen after completing the session. Type in 'OK', and press Submit to continue. ",NINE HERTZ,Please indicate your sex:,Male,"When you hold a phone to your head for a call, which ear do you usually listen with?",Either,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,6,How CALM or STRESSED do YOU feel RIGHT NOW?,6,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,6,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,3,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,3,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,9,How CALM or STRESSED do YOU feel RIGHT NOW?,4,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,7,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,2,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,9,Please type in how old you are (enter numeric values only):,20
S1ID2,2025-06-10T14:22:19.812Z,bb_study1,0,0,0,0,"Please proceed with the auditory session in a separate window if you haven't already. Once you finish, return to this screen after completing the session. Please indicate which sound condition you were allocated to",NINE HERTZ,Please indicate your sex:,Female,"When you hold a phone to your head for a call, which ear do you usually listen with?",Left,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,5,How CALM or STRESSED do YOU feel RIGHT NOW?,7,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,3,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,5,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,2,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,5,How CALM or STRESSED do YOU feel RIGHT NOW?,4,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,6,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,6,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,2,Please type in how old you are (enter numeric values only):,28
S1ID5,2025-06-10T18:57:44.390Z,bb_study1,0,0,0,0,"Please proceed with the auditory session in a separate window if you haven't already. Once you finish, return to this screen after completing the session. Type in 'OK', and press Submit to continue. ",NINE HERTZ,Please indicate your sex:,Female,"When you hold a phone to your head for a call, which ear do you usually listen with?",Right,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,9,How CALM or STRESSED do YOU feel RIGHT NOW?,1,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,9,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,8,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,9,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,9,How CALM or STRESSED do YOU feel RIGHT NOW?,1,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,9,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,8,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,9,Please type in how old you are (enter numeric values only):,48
S1ID3,2025-06-10T23:18:53.141Z,bb_study1,0,0,0,0,"Please proceed with the auditory session in a separate window if you haven't already. Once you finish, return to this screen after completing the session. Type in 'OK', and press Submit to continue. ",SIX HERTZ,Please indicate your sex:,Male,"When you hold a phone to your head for a call, which ear do you usually listen with?",Right,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,4,How CALM or STRESSED do YOU feel RIGHT NOW?,6,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,7,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,5,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,9,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,5,How CALM or STRESSED do YOU feel RIGHT NOW?,5,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,9,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,9,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,8,Please type in how old you are (enter numeric values only):,24
S1ID10,2025-06-11T00:51:26.540Z,bb_study1,0,0,0,0,"Please proceed with the auditory session in a separate window if you haven't already. Once you finish, return to this screen after completing the session. Type in 'OK', and press Submit to continue. ",NINE HERTZ,Please indicate your sex:,Male,"When you hold a phone to your head for a call, which ear do you usually listen with?",Left,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,5,How CALM or STRESSED do YOU feel RIGHT NOW?,1,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,9,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,9,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,9,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,5,How CALM or STRESSED do YOU feel RIGHT NOW?,1,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,9,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,9,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,9,Please type in how old you are (enter numeric values only):,26
