studentId,timestamp,testId,mcq_correct,mcq_total,tf_correct,tf_total,mcq_question_1,mcq_answer_1,mcq_question_2,mcq_answer_2,mcq_question_3,mcq_answer_3,mcq_question_4,mcq_answer_4,mcq_question_5,mcq_answer_5,sa_question_1,sa_answer_1,sa_question_2,sa_answer_2,sa_question_3,sa_answer_3,sa_question_4,sa_answer_4,sa_question_5,sa_answer_5,sa_question_6,sa_answer_6,sa_question_7,sa_answer_7,sa_question_8,sa_answer_8,sa_question_9,sa_answer_9,sa_question_10,sa_answer_10,sa_question_11,sa_answer_11,Q1,Q1_answer,Q2,Q2_answer,Q3,Q3_answer,Q1_rate,Q2_rate,Q3_rate
ID2.107,2025-07-18T02:56:26.497Z,bb_study2,2,4,0,0,Please select the audio condition that you received:,Pink Noise only,Please indicate your sex:,Female,Which hand do you primarily use for writing?, Right Hand,"If you were to kick a ball towards a target, which foot would you naturally use?", Right Foot,"When you hold a phone to your head for a call, which ear do you usually listen with?", Right Ear,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,2,How CALM or STRESSED do YOU feel RIGHT NOW?,8,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,2,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,2,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,2,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,4,How CALM or STRESSED do YOU feel RIGHT NOW?,6,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,5,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,3,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,5,Please type in how old you are (enter numeric values only):,21,"Walk me through your experience from the moment the sound began to when it        ended. What specific feelings, sensations, or mental images came to mind during that time? ","When it first started playing, I found it very irritating and disturbing to listen to. Since I'd already read the words ""pink noise volume"" I kept visualizing the sound as a pink wave. After a minute or so, I stopped finding the sound less irritating and instead started enjoying how it blocked out all the other sounds around me. By the end of the five minutes, I'd gotten somewhat used to the sound and when it stopped I felt overwhelmed by the voices and noises surrounding me. I wouldn't say that I love the sound, but for some reason after listening to it for 5 minutes I wasn't in the same bad and frustrated mood I was in when it started.","Reflecting on the entire process, from the instructions to the listening period       itself, how would you describe your overall impression? Were there any aspects that made you feel       particularly comfortable or uncomfortable?","I liked that there were visual instructions in the video that I could follow on the other tab, and that the instructions were so clear. I like that the instructional video has places where it stops and only continues when you answer a question and press submit, because it helps to keep up and I didn't feel lost. Overall quite comfortable.","Considering the effects you experienced, could you see yourself using an       activity like this in your daily life, for instance, to help you relax or focus? Please elaborate on your response.","I might not use this sound specifically, because even though it seemed to improve my mood, I still don't really like how it sounds. But maybe if I find something with a lower or ""warmer"" tone, I'd use it when I'm irritated with the noise around me especially while studyiny.",1,1,0
ID2.96,2025-07-18T12:04:34.114Z,bb_study2,1,4,0,0,Please select the audio condition that you received:,BB + Pink Noise,Please indicate your sex:,Male,Which hand do you primarily use for writing?, Right Hand,"If you were to kick a ball towards a target, which foot would you naturally use?", Right Foot,"When you hold a phone to your head for a call, which ear do you usually listen with?", Right Ear,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,5,How CALM or STRESSED do YOU feel RIGHT NOW?,2,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,6,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,6,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,5,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,4,How CALM or STRESSED do YOU feel RIGHT NOW?,1,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,7,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,9,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,5,Please type in how old you are (enter numeric values only):,20,"Walk me through your experience from the moment the sound began to when it        ended. What specific feelings, sensations, or mental images came to mind during that time? ","There was an initial sharp buzzing (bssszzzzzz) which was somehow intense, and I was very conscious of my ears and breathing. Gently the binaural beats got in my head and I felt a pulsing rhythm. I sensed my breathing slow and some of my body muscles relaxed (neck, shoulders). In the mind I was floating in pictures of waves or vibrations, in some cases, light. It was slightly disorienting towards the end when the sound ceased, and the noises could be heard around.","Reflecting on the entire process, from the instructions to the listening period       itself, how would you describe your overall impression? Were there any aspects that made you feel       particularly comfortable or uncomfortable?","The directions and hearing were rather soothing. The buzz and beats got me wondering and looking inwards. Comfortable aspects: release of tension, the ability to just listen. Easy to hate bits: when the buzz became too intense or the beat too harsh it jerked me back out of tranquillity. And some foggy mindedness afterwards.","Considering the effects you experienced, could you see yourself using an       activity like this in your daily life, for instance, to help you relax or focus? Please elaborate on your response.","Yes, I could imagine myself applying such a sound activity in everyday life, particularly in short, so-called resets that precede work or studying, or in order to relax before sleeping. I would restrain it, though, in length or degree of loudness, as there are times available when it might seem excessive. I would also prefer those beats/ frequencies which would be calming, and not unpleasant.",1,1,1
ID2.102,2025-07-18T19:51:57.263Z,bb_study2,0,4,0,0,Please select the audio condition that you received:,Pink Noise only,Please indicate your sex:,Female,Which hand do you primarily use for writing?,Left Hand,"If you were to kick a ball towards a target, which foot would you naturally use?", Right Foot,"When you hold a phone to your head for a call, which ear do you usually listen with?", Right Ear,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,1,How CALM or STRESSED do YOU feel RIGHT NOW?,9,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,1,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,1,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,1,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,9,How CALM or STRESSED do YOU feel RIGHT NOW?,2,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,9,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,4,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,6,Please type in how old you are (enter numeric values only):,25,"Walk me through your experience from the moment the sound began to when it        ended. What specific feelings, sensations, or mental images came to mind during that time? ","Start: (pink voice only) everything's off because I didn't get to hear any sounds. but when the second attempt with the binaural beats, I didn't expect to hear any sound. when I start hear the sound I cannot believe the sound capture my full attention, I can finally focus at how the sounds goes, I feel calm and relax at the same time and also happy because I can hear sound. When hearing the sound I can also picture myself laying down under a big tree enjoying the clouds moving while I focused on hearing the sound.","Reflecting on the entire process, from the instructions to the listening period       itself, how would you describe your overall impression? Were there any aspects that made you feel       particularly comfortable or uncomfortable?","the instructions are well delivered, and it is easy to follow step by step. When the first attempt with the pink voice only option it makes me feel uncomfortable, at first I thought that I have missed a step to follow because I didn't hear any sound but I still continue with the activity but when I start the second attempt with the binaural beats option, I finally hear sounds and it makes me comfortable.","Considering the effects you experienced, could you see yourself using an       activity like this in your daily life, for instance, to help you relax or focus? Please elaborate on your response.","yes I would use this kind of activity daily especially in my study, so I'll stay focus and relax.",1,1,1
ID2.78,2025-07-18T22:57:58.622Z,bb_study2,0,4,0,0,Please select the audio condition that you received:,BB Only,Please indicate your sex:,Female,Which hand do you primarily use for writing?, Right Hand,"If you were to kick a ball towards a target, which foot would you naturally use?", Right Foot,"When you hold a phone to your head for a call, which ear do you usually listen with?", Right Ear,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,7,How CALM or STRESSED do YOU feel RIGHT NOW?,5,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,4,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,7,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,7,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,3,How CALM or STRESSED do YOU feel RIGHT NOW?,1,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,6,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,8,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,8,Please type in how old you are (enter numeric values only):,24,"Walk me through your experience from the moment the sound began to when it        ended. What specific feelings, sensations, or mental images came to mind during that time? ","When the sound began, it startled me but then as it went on, I got used to it. The sounds were different in each ear; one was like a loud siren while the other was calm. I could not think straight, the calm sound on my left ear made me stayed focus while other sound on my right ear was rushing through the calmness.","Reflecting on the entire process, from the instructions to the listening period       itself, how would you describe your overall impression? Were there any aspects that made you feel       particularly comfortable or uncomfortable?","I was comfortable with the whole process, it just the beginning of the sound that startled me.","Considering the effects you experienced, could you see yourself using an       activity like this in your daily life, for instance, to help you relax or focus? Please elaborate on your response.","Yes. I would definitely use it on a daily, because there are times where things just overwhelm me, so this would be a great form of reset to help me relax and focus.",0,1,1
ID2.77,2025-07-19T02:41:58.423Z,bb_study2,0,4,0,0,Please select the audio condition that you received:,BB Only,Please indicate your sex:,Female,Which hand do you primarily use for writing?, Right Hand,"If you were to kick a ball towards a target, which foot would you naturally use?", Right Foot,"When you hold a phone to your head for a call, which ear do you usually listen with?", Right Ear,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,4,How CALM or STRESSED do YOU feel RIGHT NOW?,6,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,4,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,7,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,3,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,2,How CALM or STRESSED do YOU feel RIGHT NOW?,2,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,7,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,9,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,9,Please type in how old you are (enter numeric values only):,33,"Walk me through your experience from the moment the sound began to when it        ended. What specific feelings, sensations, or mental images came to mind during that time? ","At first, it felt new because i never experienced any sort of test like this before and then it went on and I thought the sound would end but it didn't, and it was getting loud, so I turned it down a bit. Before I started i was frustrated and anxious because what happened if i do something wrong and won't get graded so 3 min into the test I began to focus more on the sound although I kept turning it down. So, after the test I felt different, my anxiety and frustration were gone, and I didn't realize until it asked me about my mood after the test.","Reflecting on the entire process, from the instructions to the listening period       itself, how would you describe your overall impression? Were there any aspects that made you feel       particularly comfortable or uncomfortable?","During the test, the constant noise ringing in my ears started to feel weird so i guess uncomfortable so I kept turning it down but towards the end it was fine.","Considering the effects you experienced, could you see yourself using an       activity like this in your daily life, for instance, to help you relax or focus? Please elaborate on your response.",Yes. Most definitely.,1,0,1
ID2.118,2025-07-19T11:21:18.162Z,bb_study2,0,4,0,0,Please select the audio condition that you received:,Silence,Please indicate your sex:,Male,Which hand do you primarily use for writing?, Right Hand,"If you were to kick a ball towards a target, which foot would you naturally use?", Right Foot,"When you hold a phone to your head for a call, which ear do you usually listen with?", Right Ear,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,4,How CALM or STRESSED do YOU feel RIGHT NOW?,6,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,4,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,4,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,4,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,6,How CALM or STRESSED do YOU feel RIGHT NOW?,4,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,6,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,6,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,6,Please type in how old you are (enter numeric values only):,32,"Walk me through your experience from the moment the sound began to when it        ended. What specific feelings, sensations, or mental images came to mind during that time? ","I was a bit frustrated and been feeling stressed lately - once I listen to this sounds it automatically brings a sense of peace and all the stressed fades away. I close my eyes while listening to this - I imagined all the assignments left and things to be completed and due this week however all of these doesn't stresses me at all, its like this sound gave me energy and hope to keep striving","Reflecting on the entire process, from the instructions to the listening period       itself, how would you describe your overall impression? Were there any aspects that made you feel       particularly comfortable or uncomfortable?",The entire process was comfortable and very straightforward the instruction was very easy to follow,"Considering the effects you experienced, could you see yourself using an       activity like this in your daily life, for instance, to help you relax or focus? Please elaborate on your response.","I would love this activity to be played everyday, I've never experienced a fast stressed free activity than listening to this",1,1,1
ID2.110,2025-07-19T14:52:59.712Z,bb_study2,1,4,0,0,Please select the audio condition that you received:,Pink Noise only,Please indicate your sex:,Female,Which hand do you primarily use for writing?, Right Hand,"If you were to kick a ball towards a target, which foot would you naturally use?", Right Foot,"When you hold a phone to your head for a call, which ear do you usually listen with?", Right Ear,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,9,How CALM or STRESSED do YOU feel RIGHT NOW?,9,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,9,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,7,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,9,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,9,How CALM or STRESSED do YOU feel RIGHT NOW?,9,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,9,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,6,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,7,Please type in how old you are (enter numeric values only):,20,"Walk me through your experience from the moment the sound began to when it        ended. What specific feelings, sensations, or mental images came to mind during that time? ","i was at shock at first with the loud sound and that caused so much irritation where i felt a bit scared for a few seconds, my mental image was a combination of a busy road with plenty cars and listening to that under a waterfall where the water roughly rushes down","Reflecting on the entire process, from the instructions to the listening period       itself, how would you describe your overall impression? Were there any aspects that made you feel       particularly comfortable or uncomfortable?",yes felt uncomfortable because i was at shock at first because of the environment i'm in right now (my bedroom alone at night) added to the sense of shock that made me feel unconfortablek,"Considering the effects you experienced, could you see yourself using an       activity like this in your daily life, for instance, to help you relax or focus? Please elaborate on your response.","nope i wouldn't, i prefer smooth and calm sounds / audio and worship music to my daily life to help me relax and focus",-1,-1,-1
ID2.89,2025-07-21T00:51:01.508Z,bb_study2,0,4,0,0,Please select the audio condition that you received:,BB + Pink Noise,Please indicate your sex:,Female,Which hand do you primarily use for writing?, Right Hand,"If you were to kick a ball towards a target, which foot would you naturally use?", Right Foot,"When you hold a phone to your head for a call, which ear do you usually listen with?", Right Ear,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,6,How CALM or STRESSED do YOU feel RIGHT NOW?,4,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,8,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,7,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,9,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,8,How CALM or STRESSED do YOU feel RIGHT NOW?,1,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,9,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,8,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,9,Please type in how old you are (enter numeric values only):,25,"Walk me through your experience from the moment the sound began to when it        ended. What specific feelings, sensations, or mental images came to mind during that time? ","When listening to binaural beats, at the beginning of the sound, I was aware of the rhythmic pulse or ""beat"" that stands out, even though no actual beat sound is present. I think my brain is creating this auditory illusion. This leads to a focused or meditative state as attention settles on the sound. To add on, during the session, I feel a bit of relaxation, calmness, and a dreamy or trance-like state. I also have a feeling that my thoughts are slowing down and experience mild tingling sensations. I also experience irritation and discomfort. However, at the end of the session, I feel more relaxed or refreshed and slightly sleepy.","Reflecting on the entire process, from the instructions to the listening period       itself, how would you describe your overall impression? Were there any aspects that made you feel       particularly comfortable or uncomfortable?","The overall impression i would describe about listening to binaural beats involves a mix of comfort and mental clarity, especially when the experience is well-prepared with clear instructions and a distraction-free environment.The overall impression people tend to describe about listening to binaural beats involves a mix of comfort and mental clarity, especially when the experience is well-prepared with clear instructions and a distraction-free environment. I am feeling particularly comfortable due to a deep sense of relaxation during the session, which helps reduce anxiety and stress. This calming aspect is often intensified by using specific frequency ranges which are associated with relaxation, creativity, and meditative states. I also can feel Comfortable particularly from the simplicity of the process: putting on headphones, closing the eyes, and focusing on the sound provides a structured yet gentle way to ease into a mindful or restful state. The rhythmic quality of the beats can help maintain attention without feeling overwhelming, making it easier to let go of extraneous thoughts and achieve a sense of flow or calm. In summary, the experience is as soothing and mentally refreshing, with comfort largely influenced by the chosen frequency, and setting. Some trial and adjustment might be necessary to find what works best for comfort and desired mental states","Considering the effects you experienced, could you see yourself using an       activity like this in your daily life, for instance, to help you relax or focus? Please elaborate on your response.","Personally, for me, I would say Yes, using binaural beats daily can be helpful for relaxation and focus. I would Listen to them for about 10–30 minutes a day to reduce stress and anxiety, improve concentration, and even help with better sleep. I find that these beats are soothing and easy to use, making it a simple tool to calm the mind or boost focus during work or study. It’s like giving your brain a gentle workout to feel more relaxed and clear-headed. However, it works best when used regularly and in a quiet, comfortable place with headphones.",1,1,1
ID2.112,2025-07-21T01:10:09.587Z,bb_study2,0,4,0,0,Please select the audio condition that you received:,Pink Noise only,Please indicate your sex:,Female,Which hand do you primarily use for writing?,Left Hand,"If you were to kick a ball towards a target, which foot would you naturally use?",Left Foot,"When you hold a phone to your head for a call, which ear do you usually listen with?",Left Ear,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,4,How CALM or STRESSED do YOU feel RIGHT NOW?,6,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,4,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,4,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,4,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,4,How CALM or STRESSED do YOU feel RIGHT NOW?,4,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,4,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,4,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,4,Please type in how old you are (enter numeric values only):,31,"Walk me through your experience from the moment the sound began to when it        ended. What specific feelings, sensations, or mental images came to mind during that time? ",the sound was loud for me giving be blank images with headache.,"Reflecting on the entire process, from the instructions to the listening period       itself, how would you describe your overall impression? Were there any aspects that made you feel       particularly comfortable or uncomfortable?",the sound was loud for me making it uncomfortable to bear it,"Considering the effects you experienced, could you see yourself using an       activity like this in your daily life, for instance, to help you relax or focus? Please elaborate on your response.","no, it didn't help me to relax. the sound wasn't soothing",-1,-1,-1
ID2.79,2025-07-21T08:20:09.588Z,bb_study2,1,4,0,0,Please select the audio condition that you received:,BB Only,Please indicate your sex:,Female,Which hand do you primarily use for writing?, Right Hand,"If you were to kick a ball towards a target, which foot would you naturally use?", Right Foot,"When you hold a phone to your head for a call, which ear do you usually listen with?", Right Ear,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,5,How CALM or STRESSED do YOU feel RIGHT NOW?,3,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,7,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,4,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,7,How HAPPY or UNHAPPY do YOU feel RIGHT NOW?,5,How CALM or STRESSED do YOU feel RIGHT NOW?,2,How AGITATED or PEACEFUL do YOU feel RIGHT NOW?,8,How FOCUSED or DISTRACTED do YOU feel RIGHT NOW?,8,How CONTENT or FRUSTRATED do you feel RIGHT NOW?,5,Please type in how old you are (enter numeric values only):,23,"Walk me through your experience from the moment the sound began to when it        ended. What specific feelings, sensations, or mental images came to mind during that time? ",It was a bit annoying at the start but later got used to it. I didn't experience any mental images,"Reflecting on the entire process, from the instructions to the listening period       itself, how would you describe your overall impression? Were there any aspects that made you feel       particularly comfortable or uncomfortable?",The sound was uncomfortable in the beginning but I later got used to it,"Considering the effects you experienced, could you see yourself using an       activity like this in your daily life, for instance, to help you relax or focus? Please elaborate on your response.",No. I rather listen to music because the beginning what a bit annoying to listen and to be honest after the end of the sound I wasn't super relaxed or focus.,-1,-1,-1
